OBJECTID,STATE,LAT,LONG
138,UTTAR PRADESH,79.0241013,26.7772007
139,UTTAR PRADESH,79.4526978,25.9902
140,MADHYA PRADESH,79.5907974,24.9158001
141,MADHYA PRADESH,76.2796021,23.4235992
142,MADHYA PRADESH,76.0700989,22.9633007
143,MADHYA PRADESH,76.3550034,21.8281994
144,MAHARASHTRA,76.180603,20.5328999
145,MADHYA PRADESH,77.8108978,23.5319004
146,MADHYA PRADESH,77.7792969,23.3306007
147,MADHYA PRADESH,77.4131012,23.2667999
148,MADHYA PRADESH,77.0838013,23.2066994
149,MADHYA PRADESH,77.7125015,22.7406006
150,MADHYA PRADESH,77.9008026,21.9041004
151,MAHARASHTRA,77.7590027,20.9379997
152,MAHARASHTRA,77.0026016,20.7112999
153,MADHYA PRADESH,78.748497,23.8376999
154,MADHYA PRADESH,78.9386978,22.0582008
155,MAHARASHTRA,78.6031036,20.7359009
156,MAHARASHTRA,78.1302032,20.3882999
157,MADHYA PRADESH,79.9360962,23.1728001
158,MADHYA PRADESH,79.1919022,22.9489002
159,MADHYA PRADESH,79.5468979,22.0886993
160,MAHARASHTRA,79.6557007,21.1699009
161,MAHARASHTRA,79.0953979,21.1488991
162,UTTAR PRADESH,80.6847,27.5638008
163,UTTAR PRADESH,80.1256027,27.3957005
164,UTTAR PRADESH,80.9420013,26.8334999
165,UTTAR PRADESH,80.4881973,26.5459003
166,UTTAR PRADESH,80.342598,26.4620991
167,UTTAR PRADESH,80.1155014,25.9601994
168,UTTAR PRADESH,80.8156967,25.9283009
169,UTTAR PRADESH,80.3235016,25.4676991
170,MADHYA PRADESH,80.1876984,24.7199001
551,ASSAM,92.5651016,24.7099991
552,BIHAR,86.6421967,26.2465992
553,GUJARAT,72.8464966,21.2057991
554,TAMILNADU,78.4803009,9.8617601
555,TAMILNADU,78.1476974,8.8116798
556,MAHARASHTRA,77.152298,19.7138996
557,PUNJAB,76.1295013,31.1198997
558,HIMACHAL PRADESH,76.3130035,32.2174988
559,SIKKIM,88.5335999,27.5042
560,SIKKIM,88.3570023,27.1634007
561,ASSAM,89.9882965,26.0193996
562,MIZORAM,92.9763031,22.5142002
563,TAMILNADU,79.8335037,10.7720003
564,KERALA,76.7542038,9.2962599
565,MAHARASHTRA,72.8320007,19.0548992
566,MEGHALAYA,91.8783035,25.9164009
567,MEGHALAYA,90.6427002,25.2005997
568,MIZORAM,92.8619003,23.3262997
569,MIZORAM,93.3421021,23.4897003
570,MIZORAM,92.4964981,23.9428005
571,MIZORAM,92.6872025,24.2528
572,PUNJAB,76.4057999,30.6473999
573,MADHYA PRADESH,81.6994019,23.0983009
574,MADHYA PRADESH,77.7273026,24.5690994
575,UTTARAKHAND,80.1024017,29.3334007
576,UTTARAKHAND,78.985199,30.2952995
577,MADHYA PRADESH,76.2034988,21.3325005
580,JAMMU AND KASHMIR,73.5073013,34.365799
581,JAMMU AND KASHMIR,74.3272018,34.2001991
582,JAMMU AND KASHMIR,74.0803986,33.7733994
583,JAMMU AND KASHMIR,73.7449036,33.169899
584,JAMMU AND KASHMIR,74.8133011,33.0666008
585,JAMMU AND KASHMIR,74.8447037,32.7271004
586,JAMMU AND KASHMIR,75.1074982,32.9123001
587,JAMMU AND KASHMIR,75.7847977,33.2988014
588,JAMMU AND KASHMIR,75.1623001,33.7380981
589,JAMMU AND KASHMIR,74.8097992,34.0831985
590,LADAKH,77.5639038,34.1383018
592,GUJARAT,73.4007034,21.1126995
593,MADHYA PRADESH,74.4452972,22.5195999
597,UTTAR PRADESH,78.5720978,28.5937004
594,ASSAM,90.4456024,26.5410995
598,UTTAR PRADESH,81.8051987,26.1580009
171,MADHYA PRADESH,80.8318024,24.5669003
172,UTTAR PRADESH,81.5963974,27.5778999
173,HARYANA,77.3066025,30.3036003
174,HARYANA,76.836998,29.9624004
175,HARYANA,75.4537964,29.5163994
176,RAJASTHAN,74.319603,29.5772991
177,PUNJAB,74.5161972,30.4638996
178,PUNJAB,75.1617966,30.8012009
179,HARYANA,76.8789978,30.7224998
180,RAJASTHAN,76.3333969,26.8995991
181,RAJASTHAN,77.0210037,26.4988995
182,RAJASTHAN,73.8595963,25.0757008
183,GUJARAT,72.4434967,24.1854
184,GUJARAT,72.1109009,23.8455009
185,GUJARAT,72.9643021,23.6056004
186,MADHYA PRADESH,74.8755035,24.4741001
187,RAJASTHAN,76.5126038,25.1138
188,MADHYA PRADESH,76.697197,25.6763
189,UTTAR PRADESH,79.879097,25.2865009
599,WEST BENGAL,89.530899,26.4895
600,HARYANA,77.3265991,28.1417999
190,MADHYA PRADESH,79.4537964,23.8246994
191,PUNJAB,75.3891983,29.9867992
192,TRIPURA,91.8654022,23.9393997
193,MADHYA PRADESH,80.3963013,23.8416004
194,UTTAR PRADESH,79.9536972,26.3761997
195,UTTAR PRADESH,79.9252014,27.0562992
196,UTTAR PRADESH,81.960701,27.1340008
197,UTTAR PRADESH,81.2020035,26.9321995
198,UTTAR PRADESH,81.2288971,26.2320004
199,UTTAR PRADESH,81.9934006,25.9377003
200,UTTAR PRADESH,81.8500977,25.4542999
201,MADHYA PRADESH,81.2865982,24.5410995
202,MADHYA PRADESH,81.8820038,24.4099998
203,UTTAR PRADESH,82.1481018,26.7814007
204,UTTAR PRADESH,82.7566986,26.8017998
205,UTTAR PRADESH,82.0719986,26.2625999
206,UTTAR PRADESH,82.6858978,25.7490997
207,UTTAR PRADESH,82.9732971,25.3253994
208,UTTAR PRADESH,82.5607986,25.1443005
209,UTTAR PRADESH,83.0642014,27.2465
210,UTTAR PRADESH,83.3690033,26.7600994
211,UTTAR PRADESH,83.7814026,26.5007992
212,UTTAR PRADESH,83.1792984,26.0540009
213,UTTAR PRADESH,83.5594025,25.9482994
214,UTTAR PRADESH,83.5794983,25.5865002
215,UTTAR PRADESH,83.0671005,24.6881008
216,MADHYA PRADESH,80.3694,22.6065006
217,MADHYA PRADESH,80.1917038,21.8160992
218,MAHARASHTRA,80.0064011,20.1854992
219,MADHYA PRADESH,81.3590012,23.2949009
220,CHHATTISGARH,81.6274033,21.2280998
221,CHHATTISGARH,81.2742004,21.1889992
222,CHHATTISGARH,81.0329971,21.0900993
223,CHHATTISGARH,82.1744003,22.0751991
291,ARUNACHAL PRADESH,91.8824005,27.5881996
292,ASSAM,91.4422989,26.4452
293,ASSAM,91.0093994,26.3188
294,ASSAM,91.7489014,26.1814995
295,MEGHALAYA,91.8843994,25.5884991
296,MEGHALAYA,91.2665024,25.5184994
297,WEST BENGAL,88.5018997,23.4192009
298,WEST BENGAL,88.3940964,22.9013004
299,WEST BENGAL,88.3253021,22.5685997
300,WEST BENGAL,88.3964005,22.5494003
301,WEST BENGAL,88.2630005,22.4853992
302,TRIPURA,91.2713013,23.8283997
303,TRIPURA,91.4824982,23.5310993
304,ARUNACHAL PRADESH,94.7970963,28.1688995
305,ARUNACHAL PRADESH,94.213501,28.0300007
306,ARUNACHAL PRADESH,95.8679962,28.8512001
307,ARUNACHAL PRADESH,95.3299026,28.0657005
308,ARUNACHAL PRADESH,92.4227982,27.2646008
309,ASSAM,92.7885971,26.6236
310,ASSAM,92.3345032,26.2555008
311,ASSAM,90.550499,26.4799995
312,ASSAM,92.0305023,26.4421997
313,ASSAM,92.683403,26.3561993
314,MEGHALAYA,92.1951981,25.4386005
315,ASSAM,92.3507996,24.8721008
316,ASSAM,92.7919998,24.8206005
317,TRIPURA,92.0149002,24.3426991
318,ARUNACHAL PRADESH,93.0600967,27.3334999
319,ARUNACHAL PRADESH,93.5947037,27.1018009
320,ASSAM,93.9707031,26.5100002
321,ASSAM,93.4438019,25.8386993
322,ASSAM,93.0128021,25.1681004
323,MANIPUR,93.4991989,24.9969006
324,MANIPUR,93.9476013,24.8120995
325,MANIPUR,93.7614975,24.6329002
326,MANIPUR,93.6548996,24.3349991
327,MANIPUR,93.9866028,24.3215008
328,ASSAM,94.9089966,27.4806004
329,ASSAM,94.1018982,27.2364998
330,ASSAM,94.6362,26.9846992
331,ASSAM,94.2152023,26.7551003
332,NAGALAND,94.5162964,26.3216991
333,NAGALAND,94.811203,26.2303009
334,NAGALAND,94.2556,26.0921993
335,NAGALAND,94.5178986,26.0100002
336,NAGALAND,94.4624023,25.7022991
337,NAGALAND,94.1156998,25.6854
338,MANIPUR,94.0451965,25.3034
339,MANIPUR,94.3606033,25.0918007
340,MANIPUR,94.0028,24.6385002
341,ARUNACHAL PRADESH,95.5031967,26.9916
342,NAGALAND,95.0283966,26.7243996
343,MIZORAM,92.7249985,23.7493
344,MIZORAM,92.7435989,22.8889999
345,ARUNACHAL PRADESH,96.1632996,27.9258003
346,MAHARASHTRA,72.9705963,19.2066994
347,MAHARASHTRA,72.8293991,18.9878998
348,MAHARASHTRA,72.8753967,18.6473999
349,MAHARASHTRA,73.8618011,18.5268002
350,MAHARASHTRA,73.2968979,16.9916
351,MAHARASHTRA,73.7142029,16.1089993
352,MAHARASHTRA,74.7460022,19.0942001
353,MAHARASHTRA,74.0100021,17.6912994
354,MAHARASHTRA,74.5779037,16.8617001
355,MAHARASHTRA,74.2232971,16.6954002
356,MAHARASHTRA,75.3324966,19.8862991
357,MAHARASHTRA,75.9005966,19.8495998
358,MAHARASHTRA,75.7628021,18.9885998
359,MAHARASHTRA,75.9068985,17.6730003
360,KARNATAKA,75.7182007,16.8246994
361,GOA,73.8216019,15.4811001
362,KARNATAKA,74.5085983,15.8599997
363,KARNATAKA,74.1304016,14.8052998
364,KARNATAKA,74.8404007,12.8650999
365,KERALA,74.9893036,12.4996004
366,KARNATAKA,75.0112,15.4534998
367,KARNATAKA,75.5751038,13.9321003
368,KARNATAKA,75.7717972,13.3196001
369,KARNATAKA,75.743103,12.4237003
370,LAKSHADWEEP,72.6397018,10.5699997
371,KERALA,75.3655014,11.8699999
372,KERALA,75.7942963,11.2412004
373,MAHARASHTRA,76.7759018,19.2691994
374,MAHARASHTRA,76.5758972,18.4020004
375,MAHARASHTRA,76.0407028,18.1825008
376,KARNATAKA,76.8337021,17.3358994
377,MAHARASHTRA,77.3119965,19.1601009
378,KARNATAKA,77.5306015,17.9167995
379,TELANGANA,77.9904022,16.7453995
380,KARNATAKA,77.3575974,16.2087994
381,TELANGANA,78.5540009,19.6639996
382,TELANGANA,78.092598,18.6550999
383,TELANGANA,78.0811005,17.6266994
384,TELANGANA,78.4869003,17.4006004
385,MAHARASHTRA,79.2944031,19.9524002
386,TELANGANA,79.1434021,18.4328003
387,TELANGANA,79.5739975,18.0312004
388,TELANGANA,79.266098,17.0622997
389,KARNATAKA,76.9225006,15.1443996
390,KARNATAKA,76.4018021,14.2284002
391,KARNATAKA,76.0970993,13.0101004
392,KARNATAKA,76.8975983,12.5186005
393,KARNATAKA,76.6535034,12.3107004
394,ANDHRA PRADESH,77.5970993,14.6805
395,KARNATAKA,77.0953979,13.3549004
396,KARNATAKA,77.5950012,12.9783001
397,ANDHRA PRADESH,78.0402985,15.8360004
398,ANDHRA PRADESH,78.8239975,14.4834995
399,KARNATAKA,78.1350021,13.1370001
400,TAMILNADU,78.1600037,12.1360998
401,ANDHRA PRADESH,79.9822006,14.4504004
402,ANDHRA PRADESH,79.0987015,13.2166004
403,TAMILNADU,79.1379013,12.9109001
404,TAMILNADU,79.7143021,12.8360996
405,KERALA,76.0873032,11.6073999
406,TAMILNADU,76.7048035,11.4168997
407,KERALA,76.0847015,11.0451002
408,TAMILNADU,76.9657974,10.9961004
409,KERALA,76.6573029,10.7735004
410,KERALA,76.217598,10.5241003
411,KERALA,76.2913971,9.9582005
412,KERALA,76.520401,9.5970602
413,KERALA,76.328598,9.5031004
414,KERALA,77.1752014,9.9019604
415,KERALA,76.9167023,8.4917202
416,KERALA,76.6080017,8.8899002
417,TAMILNADU,77.7265015,11.3357
418,TAMILNADU,77.9514999,9.5954704
419,TAMILNADU,77.6912994,8.7315798
420,TAMILNADU,77.4397964,8.1774101
421,TAMILNADU,78.1517029,11.6595001
422,TAMILNADU,78.6797028,10.8235998
423,TAMILNADU,78.8108978,10.3853998
424,TAMILNADU,78.1280975,9.9263802
425,TAMILNADU,78.8396988,9.3649998
426,PUDUCHERRY,79.8309021,11.9366999
427,TAMILNADU,79.7609024,11.7568998
428,PUDUCHERRY,79.8361969,10.9193001
429,TAMILNADU,79.1371002,10.7865
430,TELANGANA,80.1390991,17.2462997
431,ANDHRA PRADESH,80.4459,16.2984009
432,ANDHRA PRADESH,81.1345978,16.1902008
