Rotation,Scale,name_of_to,district,state,ELEVATION,Lat,Long
0,0.000000000000000,HARSOLI,JAIPUR,RAJASTHAN,0,26.6278000,75.1881027
0,0.000000000000000,SEWA,JAIPUR,RAJASTHAN,0,26.5862999,75.2901001
0,0.000000000000000,CHORU,JAIPUR,RAJASTHAN,0,26.6016998,75.4396973
0,0.000000000000000,MANGALWARA,JAIPUR,RAJASTHAN,0,26.6201992,75.2800980
0,0.000000000000000,PUAGI,JAIPUR,RAJASTHAN,0,26.5877991,75.5606995
0,0.000000000000000,PACHHEWAR,TONK,RAJASTHAN,0,26.4752998,75.3255005
0,0.000000000000000,DUDU,JAIPUR,RAJASTHAN,0,26.6837006,75.2432022
0,0.000000000000000,SAKHUN,JAIPUR,RAJASTHAN,0,26.7026997,75.1053009
0,0.000000000000000,SAWARDA,JAIPUR,RAJASTHAN,0,26.7516994,75.3004990
0,0.000000000000000,MOSAMABAD,JAIPUR,RAJASTHAN,0,26.6751003,75.3626022
0,0.000000000000000,SHAG,JAIPUR,RAJASTHAN,0,26.7341003,75.4602966
0,0.000000000000000,GONDI,JAIPUR,RAJASTHAN,0,26.6938992,75.5876999
0,0.000000000000000,RENWAL,JAIPUR,RAJASTHAN,0,26.6996994,75.6695023
0,0.000000000000000,CHANDMA KALAN,JAIPUR,RAJASTHAN,0,26.5105000,75.6528015
0,0.000000000000000,CHITORA,JAIPUR,RAJASTHAN,0,26.6436005,75.6959991
0,0.000000000000000,TUHTOLI,JAIPUR,RAJASTHAN,0,26.6382008,75.7928009
0,0.000000000000000,WATIKA,JAIPUR,RAJASTHAN,0,26.7182999,75.7967987
0,0.000000000000000,MAMANA,JAIPUR,RAJASTHAN,0,26.8083000,75.0656967
0,0.000000000000000,BICHUN,JAIPUR,RAJASTHAN,0,26.8118000,75.3604965
0,0.000000000000000,PHULERA,JAIPUR,RAJASTHAN,0,26.8738003,75.2360001
0,0.000000000000000,DAHMI KHURD,JAIPUR,RAJASTHAN,0,26.8374004,75.5792999
0,0.000000000000000,BAGRU,JAIPUR,RAJASTHAN,0,26.8157997,75.5441971
0,0.000000000000000,KALWARA,JAIPUR,RAJASTHAN,0,26.7970009,75.6351013
0,0.000000000000000,MAHANA,JAIPUR,RAJASTHAN,0,26.8019009,75.7247009
0,0.000000000000000,BEGAS,JAIPUR,RAJASTHAN,0,26.8773994,75.5486984
0,0.000000000000000,BORAJ,JAIPUR,RAJASTHAN,0,26.8759995,75.4533997
0,0.000000000000000,SAMBHAR,JAIPUR,RAJASTHAN,0,26.9183998,75.2025986
0,0.000000000000000,JOBNER,JAIPUR,RAJASTHAN,0,26.9757996,75.3861008
0,0.000000000000000,PACHAR,JAIPUR,RAJASTHAN,0,26.9682999,75.4623032
0,0.000000000000000,SANGANE,JAIPUR,RAJASTHAN,0,26.8185005,75.7785034
0,0.000000000000000,CHANDLAI,JAIPUR,RAJASTHAN,0,26.6931992,75.8678970
0,0.000000000000000,SHIVDASPURAL,JAIPUR,RAJASTHAN,0,26.7089005,75.8944016
0,0.000000000000000,NARAINA,JAIPUR,RAJASTHAN,0,26.7992001,75.2181015
0,0.000000000000000,HINGOMYA,JAIPUR,RAJASTHAN,0,26.5380001,75.8632965
0,0.000000000000000,PALSANA,SIKAR,RAJASTHAN,0,27.4761009,75.3769989
0,0.000000000000000,RAGHUNATHGARH,SIKAR,RAJASTHAN,0,27.6639004,75.3460999
0,0.000000000000000,DADHIA,SIKAR,RAJASTHAN,0,27.7308998,75.2263031
0,0.000000000000000,SIKAR,SIKAR,RAJASTHAN,0,27.8253002,75.0317001
0,0.000000000000000,DUNDLOD,JHUNJHUNUN,RAJASTHAN,0,27.9039001,75.2293015
0,0.000000000000000,KANWAT,SIKAR,RAJASTHAN,0,27.5905991,75.6941986
0,0.000000000000000,THOI,SIKAR,RAJASTHAN,0,27.5401001,75.7454987
0,0.000000000000000,GUHALA,SIKAR,RAJASTHAN,0,27.7019997,75.6313019
0,0.000000000000000,SEPHARAGUWAR,JHUNJHUNUN,RAJASTHAN,0,27.8234005,75.7233963
0,0.000000000000000,GURA,JHUNJHUNUN,RAJASTHAN,0,27.8430004,75.6419983
0,0.000000000000000,BABAI,JHUNJHUNUN,RAJASTHAN,0,27.8854008,75.7671967
0,0.000000000000000,MAYANDA TARLA,SIKAR,RAJASTHAN,0,27.8274994,75.8060989
0,0.000000000000000,NAWALGARH,JHUNJHUNUN,RAJASTHAN,0,27.8561993,75.2761993
0,0.000000000000000,GUDHAGAURJI,JHUNJHUNUN,RAJASTHAN,0,27.8796997,75.5370026
0,0.000000000000000,DHOD,SIKAR,RAJASTHAN,0,27.4969006,74.9822998
0,0.000000000000000,SIHOT,SIKAR,RAJASTHAN,0,27.5632992,74.9128036
0,0.000000000000000,SIUGRAWAL,SIKAR,RAJASTHAN,0,27.4351006,74.8739014
0,0.000000000000000,MIRAND,SIKAR,RAJASTHAN,0,27.6886005,74.8692017
0,0.000000000000000,PATODA,SIKAR,RAJASTHAN,0,27.7196007,74.9216003
0,0.000000000000000,BHUMA BARA,SIKAR,RAJASTHAN,0,27.7847004,74.9241028
